CUSTKEY,NAME,ADDRESS,PHONE,ACCTBAL,MKTSEGMENT
225936,Customer#000225936,zVsUlYBhoyqwbTkoOElImYMkhFXyb,28-502-381-5086,5972.84,BUILDING
226579,Customer#000226579,MNeN45AMazB,27-187-360-3153,5117.41,HOUSEHOLD
226605,Customer#000226605,"u9t96jGt5tF,hP5WOvx BiWDo7AcFzQjyduGV",30-142-951-6097,6560.59,AUTOMOBILE
226755,Customer#000226755,j6n69EONrAvtmWAq2o7531uUj3,26-851-861-9429,3955.44,MACHINERY
228142,Customer#000228142,s3 vyyM1QeRNP 7afi nRP6MUQ0t,19-277-887-3364,4988.19,BUILDING
228551,Customer#000228551,mdgE jkvvdFu7p8xQ1WWtxavaAlj4ZBz7N,18-925-297-6606,3022.55,MACHINERY
229139,Customer#000229139,u54gJT SwXGzNyrrBPadTgiWkt6aUsFxzbBl o,19-871-971-1534,4693.44,BUILDING
229581,Customer#000229581,bqmJFLfLZMwE,10-708-630-2171,-478.38,FURNITURE
229935,Customer#000229935,BiAHPZxQPCcKFl ,17-303-682-8475,3213.11,AUTOMOBILE
233219,Customer#000233219,ojDxOKBQu4y6dfZ77JUalibXWu0VSSCQgy,30-317-432-4530,8919.18,MACHINERY
233369,Customer#000233369,9ZfPAuP4eXf,10-489-843-2946,1563.18,BUILDING
233667,Customer#000233667,"m6SoPBzyIHiAJdGlK,3ypR n7LC3e0qGU",18-500-779-3569,3303.31,BUILDING
235360,Customer#000235360,"l6SVNFmsr,rJ1O,3P5aM5u X",11-254-257-4954,8322.36,HOUSEHOLD
236197,Customer#000236197,"cCwT4K3fXjYdqmKJD3,AnfSjii3x",19-587-348-9705,3145.98,AUTOMOBILE
236647,Customer#000236647,DFg49GYCPYLyPF6lNdcn5lqT8ZyjamYM2jH,11-896-879-4529,8268.11,MACHINERY
239489,Customer#000239489,"ExdNCk XYNayxHE2,",16-554-447-7311,1768.77,HOUSEHOLD
600303,Customer#000600303,RJ1usJqMoh73sp0vtLkoczb2O,18-255-243-2790,4500.90,MACHINERY
602346,Customer#000602346,rQSIxl7IxlG4ue6oZoW1ihyrjy,15-718-986-2818,2278.04,MACHINERY
602709,Customer#000602709,"0e4H8eIP7HLeeyV3k37M,Y2SN9dxHlpsZ3uCzg",12-407-360-6391,7034.15,MACHINERY
605360,Customer#000605360,V5DSpPLz1v,16-489-872-7929,-82.72,FURNITURE
609222,Customer#000609222,"H,xz9P8oPh",28-526-351-9994,-713.55,MACHINERY
613853,Customer#000613853,"y,jZ9A7dPaso,wj",33-779-418-1494,1758.45,BUILDING
614930,Customer#000614930,gXihwn995u8JQ o0BynNKF,27-907-330-6812,615.17,BUILDING
825030,Customer#000825030,X2BOM9Vac soE,25-414-960-3133,5087.68,AUTOMOBILE
828205,Customer#000828205,cu9UPyamBbeWA63BswhTkKP,24-345-359-6236,870.55,BUILDING
830468,Customer#000830468,"G167F0ju,HIV",11-736-921-9151,-68.81,HOUSEHOLD
831581,Customer#000831581,M66HN iqSpqqYoB0FuC QI,16-686-115-3525,8797.20,AUTOMOBILE
833135,Customer#000833135,DIEzTPgavqrS10IvH0Fyp1vs6am my,28-653-190-1513,5332.01,AUTOMOBILE
833738,Customer#000833738,ZXAcAO6I2eBkijDfjr,11-314-989-7205,3922.39,HOUSEHOLD
834734,Customer#000834734,"pgrv5dtGJ,",16-830-868-9536,2859.91,BUILDING
1054122,Customer#001054122,IuYSX1Q9Nb,34-317-184-6981,6988.54,FURNITURE
1054879,Customer#001054879,aSjj4DDS4GaNaJbzMQh9MFy0HzY9,15-359-450-8263,1771.83,FURNITURE
1057851,Customer#001057851,2c5XfDZoRFHbzp,33-194-608-4871,8510.74,FURNITURE
1058268,Customer#001058268,U6eDNk7OgwNg2vrgH1bOs3bEk8lNl8pN5khawLWN,31-882-237-6554,2054.36,HOUSEHOLD
1059160,Customer#001059160,sckUdZyaB61izrg1zee,12-842-635-1255,7111.65,MACHINERY
1059205,Customer#001059205,heZvC6wjdYX1hXLohhs,18-153-320-5555,2415.36,MACHINERY
1063014,Customer#001063014,XTHAFEDrKi9ac2BW8T692aG0IhHm5cSU0,11-488-205-4755,7079.59,HOUSEHOLD
1064027,Customer#001064027,"ivGSXgBxY1vP124 VUGLex,QpglGWMU,oLJ",34-704-790-6695,9516.42,BUILDING
1305308,Customer#001305308,VFCtbhRLsft3SvaV6FNPniWfzK,15-825-571-9549,6042.45,MACHINERY
1308608,Customer#001308608,krS0WFjzrwQUYk,17-246-836-7608,-792.89,HOUSEHOLD
1309460,Customer#001309460,2QSVSFf7r5,16-495-127-5689,5831.48,MACHINERY
1310189,Customer#001310189,0XeZWLrJ4kQXQY RaT,32-315-693-8266,4793.47,MACHINERY
1310820,Customer#001310820,ctPlSgAq23HfFiKf6WjdaAw4GSR,29-985-844-6247,5591.57,AUTOMOBILE
1311155,Customer#001311155,SOgU6nWwICcz3yxPAciRtzrD ysVrQLbohQX,27-128-392-7980,6195.66,FURNITURE
1311321,Customer#001311321,"Qdq51eozCO9GHWn,NMgZyS15Dmdr",21-714-481-7363,5078.64,BUILDING
1311652,Customer#001311652,kgdJlttQqpyr8dmG NwiUVV0xSbXLTG,26-614-398-2970,4546.84,BUILDING
1313112,Customer#001313112,sSbGnm7aUdkTaft 17NVfaGiYBzc4OlNk,17-715-756-1963,5679.33,MACHINERY
1316071,Customer#001316071,"f4J,7gcoqJomR6h8lFFt9ueiJRAamPIHlSDFF",11-142-992-1076,9556.41,MACHINERY
1316423,Customer#001316423,"cyyZC2c,uoagKzMbhUdwdr9VwRK316Ej5,,ZO",12-128-878-7535,295.11,MACHINERY
1317311,Customer#001317311,WN1l8LMxaaw2cHiz4zdipAYPzse,12-246-665-9729,1124.03,AUTOMOBILE
1318458,Customer#001318458,gKmanGWepw4llw2,34-592-740-4182,185.67,AUTOMOBILE
1319109,Customer#001319109,WruKurrOx5wn 8LFLk6qykNQ,22-196-708-1414,-710.56,AUTOMOBILE
1380207,Customer#001380207,"OGzQFnK,ImlHHY8UdGz2HQaFByZl",21-706-931-4908,3181.67,AUTOMOBILE
1380391,Customer#001380391,MdgMzE1cprUF1AOY1 p0HS,31-324-692-3674,278.17,BUILDING
1382616,Customer#001382616,aI8vexS8Ci0uE9  l2ExFyG v51pBpZQBOL,24-311-516-3841,7824.61,BUILDING
1383591,Customer#001383591,q63g3ep5uG7ZuqEXM7WEZi8T 9wHagnUFHDVjV,24-969-212-6983,3548.55,FURNITURE
1388219,Customer#001388219,flW6Zhi57dY5ZXZ2kdmYvg52jmtDN7O5Ju1xgLp,22-587-780-7967,2997.17,MACHINERY
1388480,Customer#001388480,y447tRMZYEqGgMj7uQiIB,29-968-404-4423,3546.74,AUTOMOBILE
1389114,Customer#001389114,"NMvO4288uK1wNCg72NZ0,V55CZ,1m",10-615-546-5311,-675.61,BUILDING
1391078,Customer#001391078,1ZymnWx8UxUb1KypBmwE61WeKYDpHS9,30-737-500-5490,7127.20,HOUSEHOLD
1394471,Customer#001394471,"8QFACwiyilAR FR6oROB,rLcVcJ2",26-398-211-3560,5343.34,MACHINERY
180330,Customer#000180330,J12XNfXgTNfHUDlXXb6DeXHHL9xUdGS,11-801-817-8744,4379.73,HOUSEHOLD
183650,Customer#000183650,0unx8Ts3qNgqj0opaf,30-193-850-1860,3508.43,FURNITURE
184620,Customer#000184620,DhlSt3m4PIe5Sw4wAUwhQjzNmLJFmQrEqKj,28-706-613-1463,839.98,MACHINERY
185743,Customer#000185743,"bCinhJmEoWA0dk5RTe XTAM1fnId6r0 ,",34-372-114-4814,9910.41,AUTOMOBILE
186416,Customer#000186416,XAsRugDGeHdpmz,11-553-428-8355,677.79,HOUSEHOLD
187263,Customer#000187263,TmEN4FiPaguMdF8LbT66vOjcTAZN D,32-456-762-3705,3270.62,HOUSEHOLD
189118,Customer#000189118,"seoRL,WRjoZb107R",20-417-641-2465,6417.46,MACHINERY
189811,Customer#000189811,5 dRoKcXz4pdLlVD,12-270-753-5946,178.82,AUTOMOBILE
190868,Customer#000190868,"ae8PtZtXq V8vYvkNoXbpS2hv53v7QK,wF0",15-984-715-1336,4078.07,AUTOMOBILE
191531,Customer#000191531,"c2JFBmE,usz71sf",32-251-283-7115,2774.21,MACHINERY
193860,Customer#000193860,KzQiX34WJRxpxos3wNFGP6WOMA,29-197-850-1113,5886.41,MACHINERY
287106,Customer#000287106,x5oaLkUdWPus5ZF9vR7mAuFQCGh1BYiJ7pbK97W,23-763-128-6163,3777.28,FURNITURE
289826,Customer#000289826,"G ,uAwuP8JS0Qcen5OQaFF",25-732-430-7802,-560.13,AUTOMOBILE
290427,Customer#000290427,AiCjM7hYNloGkST0tan,32-611-174-7853,6467.35,BUILDING
291168,Customer#000291168,4GJ3ic9Ilh,22-909-578-6825,5360.90,AUTOMOBILE
293392,Customer#000293392,w1MjiupYJ4p,15-296-536-7642,6495.05,AUTOMOBILE
294830,Customer#000294830,"ABp2vWVwhKEUgswgYfquyHqk,lj Jax2e,a3T",26-420-125-9175,2058.61,MACHINERY
295782,Customer#000295782,BXlEpugq2TYAqY,18-426-724-6261,9569.40,MACHINERY
296712,Customer#000296712,"DnSJx,7qeqBwzJYdj2Kc",29-208-697-6496,-292.27,BUILDING
298760,Customer#000298760,KP4NXLoNg2jzYv6kpXsO9RoTQKwM4GqD8BNmDF X,25-151-619-5053,6142.37,FURNITURE
299353,Customer#000299353,TMLRgq8T3tbsB9AkiIdXr,15-277-942-5913,7937.06,FURNITURE
299665,Customer#000299665,dvhG6lpnYdQKTaJJynXHXRtax,15-807-619-5830,6281.10,FURNITURE
315227,Customer#000315227,TzqNN2H2tlDBQH,32-169-840-3513,6939.00,MACHINERY
316625,Customer#000316625,"MnFfkOC30tZR4SUc7,sJkXS1Za ,9",16-208-551-6807,5425.44,FURNITURE
318675,Customer#000318675,"x,JTTx EXVLbP",16-143-303-9252,5227.47,HOUSEHOLD
319747,Customer#000319747,siiTPYsAaE2AjMqzwucaElMviE DllaLFh ep,34-381-900-2839,7112.47,FURNITURE
320273,Customer#000320273,MdtbNxy9Aug04HI,34-382-860-5533,2263.15,AUTOMOBILE
320351,Customer#000320351,QfDaGgUhfPD0h ovSU,24-860-929-4615,6395.86,HOUSEHOLD
321041,Customer#000321041,Lpt5qbWhHfjv6nQtt2E5YN25sb fxLY zZ,21-477-264-7792,937.64,AUTOMOBILE
325044,Customer#000325044,zeV7JF 1cvie0MeZO MBKC8V MHSIuiL9ZvY1zO,29-795-971-4352,2855.22,FURNITURE
326189,Customer#000326189,4InEnFyUfM2yUf6K4mdUJ4Qvv36CFvwWz0KmFrrX,14-521-671-4220,2707.49,AUTOMOBILE
329526,Customer#000329526,dmetPXkByBm ,25-629-338-6515,3057.15,AUTOMOBILE
526048,Customer#000526048,hA0Dj1QRLKkTre7qktWv3RogSUWoHL,34-641-956-9682,7826.08,FURNITURE
526949,Customer#000526949,"v6,1f8fXxiBwBhfdSSnnhwZeZLcb0frEYXRVu",23-925-369-3148,4763.12,FURNITURE
531374,Customer#000531374,FQxyaWVf M3WSgBKoLdpMbHtGK,31-839-707-8798,9426.01,FURNITURE
532879,Customer#000532879,"fJRFQYfC89CGcWP3Tf,Au",33-720-265-7932,7598.35,FURNITURE
535143,Customer#000535143,TOc1a557b1az4LcYIFVz P8D35ux xDPwhZyIp2E,27-925-748-2100,4875.17,HOUSEHOLD
537510,Customer#000537510,"XD1mzuBy8IAEzRtwIVby2J,BCctgCMwpuiXBn",29-341-287-6605,8101.76,FURNITURE
539363,Customer#000539363,"dDUwlMmGYNP, 4zmQLf7ZK6x",12-739-674-1615,9480.41,HOUSEHOLD
675512,Customer#000675512,CUNaH68RX6kC3Fkhs7,22-793-406-3461,5558.03,AUTOMOBILE
680608,Customer#000680608,4E88ePKjlV4,24-292-142-2394,2797.91,AUTOMOBILE
681537,Customer#000681537,2LsKydx8CqWc4,19-340-264-1869,9221.71,FURNITURE
681700,Customer#000681700,nBM5Oy7g M7kE4C87vYPfK7QZs633L,30-571-422-5815,4944.66,BUILDING
683556,Customer#000683556,Y58FasAfOXdiJ1Q7VGxnfMChfcRLyshYy9,32-266-436-6717,8578.80,MACHINERY
685791,Customer#000685791,"ioKJY1nfsY4,y53uRsBA",17-384-384-5271,7670.39,MACHINERY
687675,Customer#000687675,"6k,WGwaQKmT4nNFkvZ9fHldU4gpR",29-262-899-6004,4119.36,BUILDING
